Tinamous: Tinamidae
1	Little Tinamou	Crypturellus soui
Typical Antbirds: Thamnophilidae		
120	Black-crested Antshrike	Sakesphorus canadensis
121	Barred Antshrike	Thamnophilus doliatus
122	Guianan Slaty-Antshrike (Northern Slaty-Antshrike)	Thamnophilus punctatus
123	Black-backed Antshrike	Thamnophilus melanonotus
124	White-fringed Antwren	Formicivora grisea
125	Klages's Antbird	Drymophila klagesi
Antpittas: Grallariidae		
126	Santa Marta Antpitta	Grallaria bangsi
127	Rufous Antpitta	Grallaria rufula
128	Rusty-breasted Antpitta	Grallaricula ferrugineipectus
Tapaculos: Rhinocryptidae		
129	Blackish Tapaculo	Scytalopus latrans
130	Santa Marta Tapaculo	Scytalopus sanctaemartae
131	Brown-rumped Tapaculo	Scytalopus latebricola
Ovenbirds and Woodcreepers: Furnariidae		
132	Gray-throated Leaftosser	Sclerurus albigularis
133	Olivaceous Woodcreeper	Sittasomus griseicapillus
134	Ruddy Woodcreeper	Dendrocincla homochroa
135	Plain-brown Woodcreeper	Dendrocincla fuliginosa
136	Wedge-billed Woodcreeper	Glyphorynchus spirurus
137	Northern Barred-Woodcreeper	Dendrocolaptes sanctithomae
138	Black-banded Woodcreeper	Dendrocolaptes picumnus
139	Strong-billed Woodcreeper	Xiphocolaptes promeropirhynchus
140	Ocellated Woodcreeper	Xiphorhynchus ocellatus
141	Cocoa Woodcreeper	Xiphorhynchus susurrans
142	Straight-billed Woodcreeper	Dendroplex picus
143	Streak-headed Woodcreeper	Lepidocolaptes souleyetii
144	Montane Woodcreeper	Lepidocolaptes lacrymiger
145	Plain Xenops	Xenops minutus
146	Streaked Xenops	Xenops rutilans
147	Montane Foliage-gleaner	Anabacerthia striaticollis
148	Ruddy Foliage-gleaner	Clibanornis rubiginosus
149	Flammulated Treehunter	Thripadectes flammulatus
150	Spotted Barbtail	Premnoplex brunnescens
151	Streak-capped Spinetail	Cranioleuca hellmayri
152	Pale-breasted Spinetail	Synallaxis albescens
153	Rufous Spinetail	Synallaxis unirufa
154	Rusty-headed Spinetail	Synallaxis fuscorufa
Tyrant Flycatchers: Tyrannidae		
155	White-throated Tyrannulet	Mecocerculus leucophrys
156	Mouse-colored Tyrannulet	Phaeomyias murina
157	Yellow Tyrannulet	Capsiempis flaveola
158	Forest Elaenia	Myiopagis gaimardii
159	Yellow-bellied Elaenia	Elaenia flavogaster
160	Lesser Elaenia	Elaenia chiriquensis
161	Mountain Elaenia	Elaenia frantzii
162	Sierran Elaenia	Elaenia pallatangae
163	Streak-necked Flycatcher	Mionectes striaticollis
164	Olive-striped Flycatcher	Mionectes olivaceus
165	Ochre-bellied Flycatcher	Mionectes oleagineus
166	Sepia-capped Flycatcher	Leptopogon amaurocephalus
167	Slaty-capped Flycatcher	Leptopogon superciliaris
168	Sooty-headed Tyrannulet	Phyllomyias griseiceps
169	Black-capped Tyrannulet	Phyllomyias nigrocapillus
170	Spectacled Tyrannulet	Zimmerius improbus
171	Golden-faced Tyrannulet	Zimmerius chrysops
172	Northern Scrub-Flycatcher	Sublegatus arenarum
173	Slender-billed Tyrannulet	Inezia tenuirostris
174	Tawny-crowned Pygmy-Tyrant	Euscarthmus meloryphus
175	Pale-eyed Pygmy-Tyrant	Atalotriccus pilaris
176	Black-throated Tody-Tyrant	Hemitriccus granadensis
177	Slate-headed Tody-Tyrant (Slate-headed Tody-Flycatcher)	Poecilotriccus sylvia
178	Common Tody-Flycatcher	Todirostrum cinereum
179	Yellow-olive Flycatcher	Tolmomyias sulphurescens
180	Yellow-breasted Flycatcher	Tolmomyias flaviventris
181	White-throated Spadebill	Platyrinchus mystaceus
182	Northern Royal-Flycatcher	Onychorhynchus mexicanus
183	Cinnamon Flycatcher	Pyrrhomyias cinnamomeus
184	Bran-colored Flycatcher	Myiophobus fasciatus
185	Euler's Flycatcher	Lathrotriccus euleri
186	Black-billed Flycatcher	Aphanotriccus audax
187	/Olive-sided Flycatcher/	Contopus cooperi
188	Smoke-colored Pewee	Contopus fumigatus
189	/Western Wood-Pewee/	Contopus sordidulus
190	Eastern Wood-Pewee	Contopus virens
191	Tropical Pewee	Contopus cinereus
192	Fuscous Flycatcher	Cnemotriccus fuscatus
193	/Willow Flycatcher/	Empidonax traillii
194	Black Phoebe	Sayornis nigricans
195	Streak-throated Bush-Tyrant	Myiotheretes striaticollis
196	Santa Marta Bush-Tyrant	Myiotheretes pernix
197	Yellow-bellied Chat-Tyrant	Ochthoeca diadema
198	Cattle Tyrant	Machetornis rixosa
199	Bright-rumped Attila	Attila spadiceus
200	Dusky-capped Flycatcher	Myiarchus tuberculifer
201	Venezuelan Flycatcher	Myiarchus venezuelensis
202	Pale-edged Flycatcher	Myiarchus cephalotes
203	/Great Crested Flycatcher/	Myiarchus crinitus
204	Brown-crested Flycatcher	Myiarchus tyrannulus
205	Lesser Kiskadee	Pitangus lictor
206	Great Kiskadee	Pitangus sulphuratus
207	Boat-billed Flycatcher	Megarynchus pitangua
208	Rusty-margined Flycatcher	Myiozetetes cayanensis
209	Social Flycatcher	Myiozetetes similis
210	Golden-crowned Flycatcher	Myiodynastes chrysocephalus
211	Streaked Flycatcher	Myiodynastes maculatus
212	Piratic Flycatcher	Legatus leucophaius
213	Tropical Kingbird	Tyrannus melancholicus
214	Fork-tailed Flycatcher	Tyrannus savana
Cotingas: Cotingidae		
215	Golden-breasted Fruiteater	Pipreola aureopectus
Manakins: Pipridae		
