1	Tinamiformes	Tinamous
2	Craciformes	Guans, Curassows, Chachalacas
3	Galliformes	Pheasants, Quails, Grouse, etc
4	Columbiformes	Doves, Pigeons
5	Cuculiformes	Cuckoos
6	Caprimulgiformes	Nightjars
7	Apodiformes	Swifts, Hummingbirds
8	Accipitriformes	Hawks
9	Strigiformes	Owls
10	Trogoniformes	Trogons
11	Coraciiformes	Motmots, Kingfishers
12	Galbuliformes	Jacamars
13	Piciformes	Woodpeckers
14	Falconiformes	Falcons
15	Psittaciformes	Parrots
16	Passeriformes	Passerines
